8626(8875), 2690(4530)
807(17403), 8660(2211)
9316(9611), 1652(7139)
3213(5517), 2904(3000)
241(1817), 8142(1242)
8847(11691), 985(6088)
2876(13518), 9797(5459)
2661(12145), 4733(8502)
3435(12252), 9826(3187)
3304(9736), 2211(2111)
5777(8466), 4793(8228)
5777(8467), 4793(8229)
3242(5025), 7918(2158)
2926(10920), 7261(6002)
3202(6471), 6365(2503)
1471(3856), 6896(3570)
3657(6607), 7714(1140)
2520(3736), 5322(3650)
6039(10633), 4936(5826)
1549(2633), 8029(1741)
1549(2632), 8029(1740)
8952(1875), 8521(1413)
5418(4283), 5845(1483)
3750(9450), 8739(1647)
3890(6754), 5694(755)
6329(4336), 7175(3356)
3240(10461), 8256(3428)
355(9006), 4102(4104)
7348(9016), 5331(2687)
3891(15992), 1281(4302)
7746(12535), 1298(3036)
9185(6771), 5619(4087)
3632(8995), 4644(81)
8987(4943), 1359(1951)
9668(5510), 3332(766)
9411(9567), 3040(1205)
5178(11228), 2903(5325)
3222(2742), 9866(95)
2300(5066), 8359(702)
3925(5152), 720(1500)
5715(8113), 5370(2043)
6277(7939), 4133(1101)
5420(2073), 4805(467)
8119(4957), 9244(4682)
8119(4959), 9244(4684)
3663(10658), 2074(2564)
3555(3834), 8960(2093)
3567(5197), 7656(3722)
5760(5169), 465(1482)
2904(18024), 7219(3444)
337(9842), 6253(4499)
3584(9582), 8460(922)
8158(5352), 1170(2236)
3857(2365), 4133(1005)
44(12993), 4496(6932)
9253(12732), 2101(1847)
7613(2335), 7187(2054)
5774(6653), 5821(1621)
3576(2637), 1400(540)
2987(1528), 2988(1471)
2005(8616), 6965(3979)
6158(859), 6946(492)
8939(6858), 8502(5566)
3816(4314), 5197(564)
7942(5171), 4687(225)
2186(10689), 3889(1714)
9859(13626), 7818(9811)
9859(13628), 7818(9813)
9681(3910), 1633(1963)
1633(1963), 3050(1866)
4421(3669), 2815(2640)
5366(7705), 5367(1219)
3976(1603), 5606(736)
4465(16328), 4466(3522)
8046(4854), 5712(3775)
9400(3925), 1922(3629)
2088(5990), 3883(5348)
2010(15175), 6843(1190)
9892(8267), 7395(1858)
2127(3513), 9138(525)
8388(9081), 4335(3833)
8324(5754), 1975(3259)
5546(5382), 4020(3308)
1990(6372), 8917(1224)
9985(8378), 2098(7860)
6700(1129), 6699(1127)
4652(1914), 5857(554)
7586(15789), 1972(256)
3621(4473), 7530(1031)
6018(8730), 7525(2686)
2990(7603), 6217(4241)
2496(10155), 796(5321)
7664(11115), 5796(1567)
5351(8068), 3134(2124)
218(4546), 3323(3118)
7256(6988), 353(2306)
9282(4997), 3448(4068)
2631(6626), 9885(5550)
3271(4198), 7645(3889)
3286(4850), 425(2546)
3286(4851), 425(2547)
6976(4641), 8721(2169)
1165(8639), 3822(1232)
4748(8625), 8208(4931)
1265(17963), 7879(7793)
4464(9095), 5268(5257)
3841(16119), 234(3963)
9140(12331), 1392(6643)
5621(8695), 1267(7576)
2661(10397), 4733(6739)
207(11636), 1864(9526)
179(5848), 134(4153)
807(13659), 1769(7972)
7822(11472), 4783(5619)
4406(6913), 5563(2972)
5651(3582), 17(701)
4435(4295), 7767(624)
3031(4575), 8317(2734)
9541(1436), 6950(1380)
6215(8787), 5560(73)
3691(6771), 5546(2751)
2330(8259), 9227(1673)
3825(8268), 7601(2780)
3142(15812), 9619(3455)
1344(6835), 5111(4904)
7048(6139), 7768(310)
8358(5005), 4019(2869)
1927(2039), 596(427)
1927(2040), 596(428)
6857(4210), 1606(663)
4611(10896), 7929(6002)
179(10171), 6661(7124)
6018(4579), 1791(1016)
1644(7811), 4262(3146)
6422(3896), 157(3856)
6282(4489), 2467(978)
7059(16656), 5959(6702)
1937(1649), 2985(834)
9443(1986), 3922(1833)
4176(3109), 5306(900)
4076(8692), 5522(4210)
9359(11662), 6001(7167)
9252(10643), 8943(9713)
5858(11840), 112(10976)
3581(5657), 1443(49)
9611(13123), 5589(4198)
4201(511), 4202(497)
5057(15777), 3135(8672)
8200(6412), 6136(78)
4093(13352), 2422(1335)
7209(14228), 4657(1402)
467(15647), 3263(6507)
3931(4771), 4423(3451)
4406(13274), 8818(1230)
4097(10737), 2120(2608)
4496(1878), 2863(1009)
2155(11364), 6758(187)
1521(5791), 7546(3294)
1521(5792), 7546(3295)
117(3197), 8692(1358)
995(2539), 790(1367)
3468(17045), 3134(4151)
8854(7145), 8870(6703)
1680(14026), 3717(4838)
8854(7149), 8870(6706)
6369(9735), 3576(2641)
2904(14800), 9117(2327)
3795(10493), 4833(9279)
4833(9279), 3104(2898)
8147(6302), 4173(4859)
2558(7243), 4434(4715)
8777(11574), 9327(1959)
4877(5965), 6805(1955)
4877(5964), 6805(1954)
6896(14913), 5133(9052)
4434(10935), 5283(743)
3747(14877), 666(7320)
8900(7891), 296(7418)
296(7418), 5367(5974)
995(2542), 790(1370)
9572(7100), 9223(1720)
9822(14987), 5456(1394)
1705(5229), 8232(3435)
267(4664), 8254(1899)
6148(8046), 2638(1834)
3292(4421), 4708(4250)
207(5213), 8645(4298)
8645(4298), 1865(3041)
1865(3041), 612(320)
9365(21383), 1890(3699)
5229(1522), 8684(1054)
4406(12848), 1677(6879)
5296(6835), 8484(2065)
2214(10307), 1819(1138)
2904(9222), 2127(1148)
6182(9006), 3385(1668)
5322(9797), 2605(841)
6380(8136), 4960(3176)
6601(7646), 6955(1528)
8901(1267), 894(22)
4377(3867), 2185(2273)
9084(15864), 4579(4102)
5407(15606), 1816(4745)
9470(8541), 3791(6749)
4995(15066), 6817(2231)
3985(7050), 1806(280)
91(10603), 911(346)
8645(13599), 2940(7645)
8638(8163), 2765(3690)
9030(17587), 7276(4258)
9030(17583), 7276(4255)
3839(9773), 5466(5851)
6054(10563), 2524(9408)
3989(9107), 459(499)
6496(17887), 4922(5371)
6813(8043), 2631(4428)
1634(8928), 123(2114)
2042(12518), 1884(8593)
9471(14911), 8848(1509)
7262(6444), 7554(1756)
9321(12792), 7919(1712)
9321(12793), 7919(1714)
5879(4777), 3267(2831)
91(12700), 699(4963)
1628(3586), 6882(2557)
1377(8162), 2747(5221)
3656(7314), 8956(5332)
8956(5332), 1819(2624)
8342(12484), 5413(11587)
5413(11587), 8774(11481)
5413(11588), 8774(11482)
3049(15259), 9682(2752)
3272(11144), 4114(4678)
1707(25180), 1192(11137)
7194(12084), 7883(608)
1917(8557), 8864(6202)
2332(4365), 566(2611)
8312(13871), 1495(6994)
9326(3055), 943(1054)
7964(8309), 6722(2125)
9642(11618), 637(4840)
2022(6693), 8777(1746)
3323(10041), 8594(2696)
8626(8874), 2690(4529)
8342(12555), 8485(8480)
1358(8674), 8987(3061)
5270(4470), 9285(2899)
6159(5763), 6940(910)
4878(2906), 8921(1830)
4515(8288), 729(6621)
7881(3110), 8394(1628)
7849(8852), 4504(4025)
7070(7332), 5368(1649)
9775(12918), 9844(2890)
8165(5607), 4467(2271)
9185(13588), 958(2916)
3263(8512), 9926(1910)
2355(8146), 6339(357)
7423(13466), 8841(920)
3279(14694), 5201(1181)
4083(3802), 8810(1240)
4623(17528), 5491(588)
2174(3793), 859(1317)
8062(7351), 3761(5446)
939(5727), 9815(3328)
9245(9018), 8926(196)
80(8053), 9133(7313)
9225(11815), 3747(2162)
362(12368), 2265(3310)
9708(7586), 6464(5296)
5661(16026), 9867(4230)
1612(9616), 9279(1743)
9681(3908), 1633(1961)
